day,TX
2011-09-22,33.195
2011-09-23,33.25333333333334
2011-09-24,33.309999999999995
2011-09-25,33.361666666666665
2011-09-26,33.376666666666665
2011-09-27,33.4
2011-09-28,33.438333333333325
2011-09-29,33.455
2011-09-30,33.46666666666667
2011-10-01,33.483333333333334
2011-10-02,33.519999999999996
2011-10-03,33.471666666666664
2011-10-04,33.42833333333333
2011-10-05,33.438333333333325
2011-10-06,33.43666666666666
2011-10-07,33.408333333333324
2011-10-08,33.385
2011-10-09,33.291666666666664
2011-10-10,33.32833333333333
2011-10-11,33.45833333333333
2011-10-12,33.434999999999995
2011-10-13,33.38833333333333
2011-10-14,33.43499999999999
2011-10-15,33.44999999999998
2011-10-16,33.436666666666646
2011-10-17,33.399999999999984
2011-10-18,33.36999999999998
2011-10-19,33.49333333333332
2011-10-20,33.44999999999998
2011-10-21,33.38333333333332
2011-10-22,33.26333333333332
2011-10-23,33.24333333333332
2011-10-24,33.23666666666666
2011-10-25,33.203333333333326
2011-10-26,33.169999999999995
2011-10-27,33.15666666666666
2011-10-28,33.13999999999999
2011-10-29,33.10833333333332
2011-10-30,32.999999999999986
2011-10-31,32.91333333333332
2011-11-01,32.85333333333332
2011-11-02,32.84999999999999
2011-11-03,32.84333333333332
2011-11-04,32.903333333333315
2011-11-05,32.903333333333315
2011-11-06,32.85166666666665
2011-11-07,32.86166666666665
2011-11-08,32.90499999999998
2011-11-09,32.808333333333316
2011-11-10,32.80166666666665
2011-11-11,32.79166666666665
2011-11-12,32.72166666666665
2011-11-13,32.66499999999998
2011-11-14,32.66333333333331
2011-11-15,32.57333333333331
2011-11-16,32.54999999999998
